,TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,CFID,CFPARAMS,date,season
0,1610612737,Atlanta Hawks,17,12,5,0.706,48.3,39.3,83.9,0.468,6.2,18.1,0.342,17.6,22.6,0.779,11.9,30.5,42.5,20.4,12.8,6.9,6.5,4.5,20.4,20.8,102.4,4.9,8,6,5,6,9,4,9,9,17,15,16,20,23,8,10,15,13,17,1,20,2,11,6,23,8,8,10,Atlanta Hawks,2009-11-30,2009-10
1,1610612738,Boston Celtics,17,13,4,0.765,48.3,38.1,77.5,0.492,6.6,19.3,0.341,17.1,22.8,0.747,8.8,29.4,38.2,24.7,14.6,8.9,4.8,4.2,21.3,22.1,99.9,8.6,8,3,3,4,9,11,27,3,15,11,17,23,21,18,28,26,29,3,14,2,18,6,13,10,14,1,10,Boston Celtics,2009-11-30,2009-10
2,1610612766,Charlotte Bobcats,16,7,9,0.438,48.6,32.8,76.6,0.428,4.6,16.1,0.287,17.9,25.6,0.7,11.0,31.0,42.0,18.6,16.3,8.1,4.6,6.9,20.1,21.9,88.2,0.3,21,18,17,18,3,29,28,29,24,21,27,17,11,29,16,12,15,24,26,9,20,29,5,14,29,17,10,Charlotte Bobcats,2009-11-30,2009-10
3,1610612741,Chicago Bulls,15,6,9,0.4,48.0,35.6,82.3,0.433,3.5,11.6,0.305,16.7,22.5,0.742,12.7,30.3,43.0,19.5,14.3,7.3,5.7,5.8,19.3,19.9,91.4,-6.2,27,21,17,20,18,23,12,27,28,28,26,26,24,20,5,17,7,19,11,16,8,22,1,27,27,27,10,Chicago Bulls,2009-11-30,2009-10
4,1610612739,Cleveland Cavaliers,17,12,5,0.706,48.0,36.5,76.5,0.478,8.3,18.9,0.438,17.7,24.4,0.725,8.5,31.5,40.0,20.8,14.3,6.9,5.4,4.2,21.6,20.0,99.1,4.5,8,6,5,6,18,18,29,7,5,12,2,19,17,27,30,7,26,15,9,20,10,6,19,26,17,10,10,Cleveland Cavaliers,2009-11-30,2009-10
5,1610612742,Dallas Mavericks,18,13,5,0.722,48.8,38.9,84.3,0.462,6.7,18.1,0.372,18.8,23.4,0.801,11.1,32.5,43.6,23.2,13.0,8.1,6.0,4.3,19.8,22.8,103.4,6.1,2,3,5,5,2,6,8,14,12,16,8,13,19,3,15,3,3,5,2,10,5,8,2,5,7,6,10,Dallas Mavericks,2009-11-30,2009-10
6,1610612743,Denver Nuggets,17,12,5,0.706,48.0,38.5,80.5,0.478,5.9,16.4,0.363,26.3,32.8,0.803,9.9,30.9,40.8,23.0,14.3,8.5,5.4,6.1,22.6,25.1,109.2,6.5,8,6,5,6,18,10,18,6,19,20,11,1,1,2,26,13,23,6,9,5,12,26,24,1,3,4,10,Denver Nuggets,2009-11-30,2009-10
7,1610612765,Detroit Pistons,17,6,11,0.353,48.3,34.9,78.9,0.442,4.6,14.2,0.322,18.2,25.1,0.725,12.8,28.6,41.4,15.9,13.6,6.5,4.4,5.6,23.6,22.2,92.5,-2.5,8,21,24,24,9,27,22,21,25,25,21,15,16,26,4,29,20,29,6,23,23,20,27,9,26,19,10,Detroit Pistons,2009-11-30,2009-10
8,1610612744,Golden State Warriors,16,6,10,0.375,48.0,41.4,85.9,0.482,6.7,17.1,0.391,20.0,25.9,0.771,8.8,29.3,38.0,21.9,16.6,10.0,4.3,6.1,23.8,22.8,109.6,-2.8,21,21,20,23,18,2,5,4,13,19,4,7,8,11,29,27,30,9,29,1,25,27,28,6,2,20,10,Golden State Warriors,2009-11-30,2009-10
9,1610612745,Houston Rockets,17,9,8,0.529,48.3,38.8,87.2,0.445,7.8,22.8,0.341,16.6,21.4,0.78,13.8,28.7,42.5,22.1,14.9,8.4,4.0,7.5,21.7,21.2,102.1,0.8,8,11,14,14,9,9,2,20,7,4,18,27,28,7,1,28,12,8,19,6,29,30,20,21,9,14,10,Houston Rockets,2009-11-30,2009-10
10,1610612754,Indiana Pacers,15,6,9,0.4,48.0,35.4,81.3,0.436,6.3,20.3,0.308,21.8,28.5,0.766,10.5,32.6,43.1,19.3,16.2,7.1,7.4,5.3,24.5,22.7,98.9,-3.6,27,21,17,20,18,25,15,25,16,7,24,2,2,12,22,2,6,21,24,19,1,16,30,7,19,21,10,Indiana Pacers,2009-11-30,2009-10
11,1610612746,Los Angeles Clippers,18,8,10,0.444,48.0,36.3,78.1,0.465,4.7,15.3,0.305,18.5,25.5,0.725,10.8,30.1,40.9,22.3,15.6,7.6,6.4,4.1,21.1,22.3,95.7,-2.4,2,16,20,17,18,20,26,12,23,24,25,14,12,25,18,20,22,7,22,12,3,4,10,8,23,18,10,Los Angeles Clippers,2009-11-30,2009-10
12,1610612747,Los Angeles Lakers,16,13,3,0.813,48.6,40.4,87.5,0.462,6.9,19.4,0.355,16.1,21.9,0.734,12.4,33.9,46.3,24.4,14.7,8.3,5.1,4.6,20.5,21.3,103.8,7.9,21,3,1,2,3,3,1,13,11,10,12,28,25,22,7,1,1,4,15,7,15,12,8,20,6,2,10,Los Angeles Lakers,2009-11-30,2009-10
13,1610612763,Memphis Grizzlies,18,6,12,0.333,48.3,38.9,81.4,0.478,2.9,10.5,0.28,20.1,27.6,0.726,13.0,29.8,42.8,19.4,16.7,7.3,4.6,5.4,21.5,22.9,100.9,-5.9,2,21,26,25,15,6,14,5,30,30,28,6,4,24,2,24,10,20,30,15,21,18,16,4,13,26,10,Memphis Grizzlies,2009-11-30,2009-10
14,1610612748,Miami Heat,16,9,7,0.563,48.0,35.2,78.3,0.45,5.8,17.5,0.329,19.3,25.5,0.755,10.3,30.4,40.8,17.4,13.7,6.2,5.1,5.1,20.9,21.9,95.4,0.3,21,11,10,12,18,26,25,18,20,18,19,11,12,15,24,16,24,28,7,24,15,15,9,13,24,15,10,Miami Heat,2009-11-30,2009-10
15,1610612749,Milwaukee Bucks,16,9,7,0.563,48.6,37.9,86.6,0.437,8.8,22.1,0.395,14.4,20.1,0.717,13.0,31.6,44.6,21.9,14.9,7.4,4.2,5.4,23.1,20.8,98.9,1.6,21,11,10,12,3,14,4,24,4,5,3,30,29,28,2,6,2,9,18,14,27,17,26,24,18,13,10,Milwaukee Bucks,2009-11-30,2009-10
16,1610612750,Minnesota Timberwolves,17,2,15,0.118,48.0,36.6,84.7,0.432,3.6,13.8,0.26,14.6,19.8,0.738,11.7,29.8,41.5,18.1,16.5,8.6,3.5,6.2,21.5,18.6,91.4,-13.5,8,29,29,29,18,17,6,28,27,26,30,29,30,21,11,25,19,27,27,3,30,28,17,30,28,30,10,Minnesota Timberwolves,2009-11-30,2009-10
17,1610612751,New Jersey Nets,17,0,17,0.0,48.0,32.4,80.0,0.404,3.4,12.4,0.27,17.6,22.8,0.775,11.4,30.2,41.6,15.5,16.5,6.9,5.4,5.9,21.2,19.3,85.7,-11.1,8,30,30,30,18,30,19,30,29,27,29,20,22,10,14,18,18,30,27,20,10,24,12,29,30,29,10,New Jersey Nets,2009-11-30,2009-10
18,1610612740,New Orleans Hornets,17,7,10,0.412,48.6,37.1,84.6,0.439,8.1,21.8,0.373,17.1,21.6,0.788,12.1,29.9,42.0,21.3,13.8,7.2,4.1,5.0,21.2,21.6,99.4,-4.0,8,18,20,19,6,16,7,22,6,6,7,23,26,5,9,22,15,13,8,17,28,14,11,17,16,22,10,New Orleans Hornets,2009-11-30,2009-10
19,1610612752,New York Knicks,17,3,14,0.176,49.2,37.9,86.7,0.438,9.1,28.6,0.318,16.9,21.5,0.786,9.9,30.1,40.1,21.5,14.8,7.9,4.2,4.9,23.0,20.5,101.9,-7.3,8,28,28,28,1,12,3,23,3,1,22,25,27,6,26,19,25,12,17,11,26,13,25,25,10,28,10,New York Knicks,2009-11-30,2009-10
20,1610612760,Oklahoma City Thunder,17,9,8,0.529,48.3,35.7,79.6,0.448,5.1,16.1,0.314,20.3,25.1,0.808,10.5,31.4,41.8,18.6,15.5,8.3,6.4,4.4,22.6,21.1,96.8,2.5,8,11,14,14,9,22,20,19,22,22,23,5,15,1,21,10,17,25,21,8,4,10,22,22,20,12,10,Oklahoma City Thunder,2009-11-30,2009-10
21,1610612753,Orlando Magic,18,14,4,0.778,48.0,35.8,78.6,0.456,10.1,27.4,0.367,18.1,26.8,0.675,10.4,32.3,42.7,19.2,13.6,5.9,4.6,3.8,19.9,23.4,99.8,6.2,2,1,3,3,18,21,23,15,2,2,10,16,5,30,23,5,11,22,5,26,21,2,3,2,15,5,10,Orlando Magic,2009-11-30,2009-10
